"name","origin","country_code","temperament","description","alt_names","wikipedia_url","image_url","lat","lng","weight_kg","life_span_yrs","affection_level","energy_level","intelligence","dog_friendly","child_friendly","stranger_friendly","adaptability","grooming","shedding_level","social_needs","vocalisation","health_issues","indoor","lap","hypoallergenic","hairless","rare"
"Selkirk Rex","United States","US","Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social","The Selkirk Rex is an incredibly patient, loving, and tolerant breed. The Selkirk also has a silly side and is sometimes described as clownish. She loves being a lap cat and will be happy to chat with you in a quiet voice if you talk to her. ","Shepherd Cat","https://en.wikipedia.org/wiki/Selkirk_Rex","https://cdn2.thecatapi.com/images/II9dOZmrw.jpg",37.574,-96.296,5,14.5,5,3,3,5,4,3,5,2,1,3,3,4,0,1,1,0,0
"Siamese","Thailand","TH","Active, Agile, Clever, Sociable, Loving, Energetic","While Siamese cats are extremely fond of their people, they will follow you around and supervise your every move, being talkative and opinionated. They are a demanding and social cat, that do not like being left alone for long periods.","Siam, Thai Cat","https://en.wikipedia.org/wiki/Siamese_(cat)","https://cdn2.thecatapi.com/images/ai6Jps4sx.jpg",14.989,101.113,5.5,13.5,5,5,5,5,4,5,5,1,2,5,5,1,0,1,1,0,0
"Siberian","Russia","RU","Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate","The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ","Moscow Semi-longhair, HairSiberian Forest Cat","https://en.wikipedia.org/wiki/Siberian_(cat)","https://cdn2.thecatapi.com/images/3bkZAjRh1.jpg",62.36,105.898,5.5,13.5,5,5,5,5,4,3,5,2,3,4,1,2,0,1,1,0,0
"Singapura","Singapore","SP","Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal","The Singapura is usually cautious when it comes to meeting new people, but loves attention from his family so much that she sometimes has the reputation of being a pest. This is a highly active, curious and affectionate cat. She may be small, but she knows she<U+2019>s in charge","Drain Cat, Kucinta, Pura","https://en.wikipedia.org/wiki/Singapura_(cat)","https://cdn2.thecatapi.com/images/Qtncp2nRe.jpg",1.092,102.699,3,13.5,5,5,5,5,4,5,5,1,3,5,1,1,0,1,0,0,0
"Snowshoe","United States","US","Affectionate, Social, Intelligent, Sweet-tempered","The Snowshoe is a vibrant, energetic, affectionate and intelligent cat. They love being around people which makes them ideal for families, and becomes unhappy when left alone for long periods of time. Usually attaching themselves to one person, they do whatever they can to get your attention.","","https://en.wikipedia.org/wiki/Snowshoe_(cat)","https://cdn2.thecatapi.com/images/MK-sYESvO.jpg",36.459,-94.596,4,16.5,5,4,5,5,4,4,5,3,3,4,5,1,0,1,0,0,0
"Somali","Somalia","SO","Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal","The Somali lives life to the fullest. He climbs higher, jumps farther, plays harder. Nothing escapes the notice of this highly intelligent and inquisitive cat. Somalis love the company of humans and other animals.","Fox Cat, Long-Haired Abyssinian","https://en.wikipedia.org/wiki/Somali_(cat)","https://cdn2.thecatapi.com/images/EPF2ejNS0.jpg",6.491,45.765,4,14,5,5,5,4,3,5,5,3,4,5,1,2,0,NA,0,0,0
"Sphynx","Canada","CA","Loyal, Inquisitive, Friendly, Quiet, Gentle","The Sphynx is an intelligent, inquisitive, extremely friendly people-oriented breed. Sphynx commonly greet their owners  at the front door, with obvious excitement and happiness. She has an unexpected sense of humor that is often at odds with her dour expression.","Canadian Hairless, Canadian Sphynx","https://en.wikipedia.org/wiki/Sphynx_(cat)","https://cdn2.thecatapi.com/images/BDb8ZXb1v.jpg",54.729,-106.989,4,13,5,3,5,5,4,5,5,2,1,5,5,4,0,1,1,1,1
"Tonkinese","Canada","CA","Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate","Intelligent and generous with their affection, a Tonkinese will supervise all activities with curiosity. Loving, social, active, playful, yet content to be a lap cat","Tonk","https://en.wikipedia.org/wiki/Tonkinese_(cat)","https://cdn2.thecatapi.com/images/KBroiVNCM.jpg",56.325,-105.89,4,15,5,5,5,5,4,5,5,1,3,5,5,1,0,1,0,0,0
"Toyger","United States","US","Playful, Social, Intelligent","The Toyger has a sweet, calm personality and is generally friendly. He's outgoing enough to walk on a leash, energetic enough to play fetch and other interactive games, and confident enough to get along with other cats and friendly dogs.","","https://en.wikipedia.org/wiki/Toyger","https://cdn2.thecatapi.com/images/O3F3_S1XN.jpg",37.3,-96.304,5,13.5,5,5,5,5,4,5,5,1,3,3,5,2,0,1,0,0,0
"Turkish Angora","Turkey","TR","Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social","This is a smart and intelligent cat which bonds well with humans. With its affectionate and playful personality the Angora is a top choice for families. The Angora gets along great with other pets in the home, but it will make clear who is in charge, and who the house belongs to","Ankara","https://en.wikipedia.org/wiki/Turkish_Angora","https://cdn2.thecatapi.com/images/7CGV6WVXq.jpg",38.289,35.597,3.5,16.5,5,5,5,5,4,5,5,2,2,5,3,2,0,NA,0,0,0
"Turkish Van","Turkey","TR","Agile, Intelligent, Loyal, Playful, Energetic","While the Turkish Van loves to jump and climb, play with toys, retrieve and play chase, she is is big and ungainly; this is one cat who doesn<U+2019>t always land on his feet. While not much of a lap cat, the Van will be happy to cuddle next to you and sleep in your bed. ","Turkish Cat, Swimming cat","https://en.wikipedia.org/wiki/Turkish_Van","https://cdn2.thecatapi.com/images/sxIXJax6h.jpg",39.822,35.462,6,14.5,5,5,5,5,4,4,5,2,3,4,5,1,0,NA,0,0,0
"York Chocolate","United States","US","Playful, Social, Intelligent, Curious, Friendly","York Chocolate cats are known to be true lap cats with a sweet temperament. They love to be cuddled and petted. Their curious nature makes them follow you all the time and participate in almost everything you do, even if it's related to water: unlike many other cats, York Chocolates love it.","York","https://en.wikipedia.org/wiki/York_Chocolate","https://cdn2.thecatapi.com/images/0SxW2SQ_S.jpg",36.534,-96.565,6.5,14,5,5,5,5,4,4,5,3,3,4,5,1,0,1,0,0,0
